hilltopMeasurementName,hilltopParameterName,shortParameterName,parameterPublicName,guideline_lower,guideline_upper,parameterUnits,parameterColours
Turbidity,Turbidity,Turbidity,Turbidity,1.00E-04,5.6,NTU,#989898
Nitrite/Nitrate - Nitrogen,Nitrite-Nitrate Nitrogen,Nitrite,,,,,
Dissolved Reactive Phosphorus,Dissolved Reactive Phosphorus,Phosphorus,Dissolved Reactive Phosphorus,1.00E-04,0.015,mg/L,#00cccc
E. coli,E. coli,Ecoli,E. coli concentration,1.00E-04,550,E.coli/100mL,#ff9999
pH,pH,pH,pH,6.7,7.8,,#dd99ff
Dissolved Oxygen Sat (Field),Dissolved Oxygen Saturation,Oxygen,Dissolved Oxygen Saturation,70,300,%,#00aaff
Water Temperature (Field),Water Temperature (Field),Temperature,Water Temperature,-10,21.5,deg C,#ff9933
Ammonia - Nitrogen,Ammonia - Nitrogen,Ammonia,Ammonical-Nitrogen,1.00E-04,0.2,mg/L,#dc65c0
Nitrate - Nitrogen,Nitrate - Nitrogen,Nitrate,Nitrate-Nitrogen,1.00E-04,2.4,mg/L,#b8b76b
,,SINitrogen,Soluable Inorganic Nitrogen,1.00E-04,0.165,mg/L,#95d680
